key,value
50,0.01
50.25,0.01025
50.5,0.0105
50.75,0.01075
51,0.011
51.25,0.01125
51.5,0.0115
51.75,0.01175
52,0.012
52.25,0.01225
52.5,0.0125
52.75,0.01275
53,0.013
53.25,0.01325
53.5,0.0135
53.75,0.01375
54,0.014
54.25,0.01425
54.5,0.0145
54.75,0.01475
55,0.015
55.25,0.01525
55.5,0.0155
55.75,0.01575
56,0.016
56.25,0.01625
56.5,0.0165
56.75,0.01675
57,0.017
57.25,0.01725
57.5,0.0175
57.75,0.01775
58,0.018
58.25,0.01825
58.5,0.0185
58.75,0.01875
59,0.019
59.25,0.01925
59.5,0.0195
59.75,0.01975
60,0.021
60.25,0.02125
60.5,0.0215
60.75,0.02175
61,0.022
61.25,0.02225
61.5,0.0225
61.75,0.02275
62,0.023
62.25,0.023
62.5,0.023
62.75,0.023
63,0.023
63.25,0.023
63.5,0.023
63.75,0.023
64,0.023
64.25,0.023
64.5,0.023
64.75,0.023
65,0.023
65.25,0.023
65.5,0.023
65.75,0.023
66,0.023
66.25,0.023
66.5,0.023
66.75,0.023
67,0.023
67.25,0.023
67.5,0.023
67.75,0.023
68,0.023
68.25,0.023
68.5,0.023
68.75,0.023
69,0.023
69.25,0.023
69.5,0.023
69.75,0.023
70,0.023
70.25,0.023
70.5,0.023
70.75,0.023
71,0.023
71.25,0.023
71.5,0.023
71.75,0.023
72,0.023
72.25,0.023
72.5,0.023
72.75,0.023
73,0.023
73.25,0.023
73.5,0.023
73.75,0.023
74,0.023
74.25,0.023
74.5,0.023
74.75,0.023
75,0.023
75.25,0.023
75.5,0.023
75.75,0.023
76,0.023
76.25,0.023
76.5,0.023
76.75,0.023
77,0.023
77.25,0.023
77.5,0.023
77.75,0.023
78,0.023
78.25,0.023
78.5,0.023
78.75,0.023
79,0.023
79.25,0.023
79.5,0.023
79.75,0.023
80,0.023
80.25,0.023
80.5,0.023
80.75,0.023
81,0.023
81.25,0.023
81.5,0.023
81.75,0.023
82,0.023
82.25,0.023
82.5,0.023
82.75,0.023
83,0.023
83.25,0.023
83.5,0.023
83.75,0.023
84,0.023
84.25,0.023
84.5,0.023
84.75,0.023
85,0.023
85.25,0.023
85.5,0.023
85.75,0.023
86,0.023
86.25,0.023
86.5,0.023
86.75,0.023
87,0.023
87.25,0.023
87.5,0.023
87.75,0.023
88,0.023
88.25,0.023
88.5,0.023
88.75,0.023
89,0.023
89.25,0.023
89.5,0.023
89.75,0.023
90,0.023
90.25,0.023
90.5,0.023
90.75,0.023
91,0.023
91.25,0.023
91.5,0.023
91.75,0.023
92,0.023
92.25,0.023
92.5,0.023
92.75,0.023
93,0.023
93.25,0.023
93.5,0.023
93.75,0.023
94,0.023
94.25,0.023
94.5,0.023
94.75,0.023
95,0.023
95.25,0.023
95.5,0.023
95.75,0.023
96,0.023
96.25,0.023
96.5,0.023
96.75,0.023
97,0.023
97.25,0.023
97.5,0.023
97.75,0.023
98,0.023
98.25,0.023
98.5,0.023
98.75,0.023
99,0.023
99.25,0.023
99.5,0.023
99.75,0.023
10,0
10.25,0
10.5,0
10.75,0
11,0
11.25,0
11.5,0
11.75,0
12,0
12.25,0
12.5,0
12.75,0
13,0
13.25,0
13.5,0
13.75,0
14,0
14.25,0
14.5,0
14.75,0
15,0
15.25,0
15.5,0
15.75,0
16,0
16.25,0
16.5,0
16.75,0
17,0
17.25,0
17.5,0
17.75,0
18,0
18.25,0
18.5,0
18.75,0
19,0
19.25,0
19.5,0
19.75,0
20,0
20.25,0
20.5,0
20.75,0
21,0
21.25,0
21.5,0
21.75,0
22,0
22.25,0
22.5,0
22.75,0
23,0
23.25,0
23.5,0
23.75,0
24,0
24.25,0
24.5,0
24.75,0
25,0
25.25,0
25.5,0
25.75,0
26,0
26.25,0
26.5,0
26.75,0
27,0
27.25,0
27.5,0
27.75,0
28,0
28.25,0
28.5,0
28.75,0
29,0
29.25,0
29.5,0
29.75,0
30,0
30.25,0
30.5,0
30.75,0
31,0
31.25,0
31.5,0
31.75,0
32,0
32.25,0
32.5,0
32.75,0
33,0
33.25,0
33.5,0
33.75,0
34,0
34.25,0
34.5,0
34.75,0
35,0
35.25,0
35.5,0
35.75,0
36,0
36.25,0
36.5,0
36.75,0
37,0
37.25,0
37.5,0
37.75,0
38,0
38.25,0
38.5,0
38.75,0
39,0
39.25,0
39.5,0
39.75,0
40,0
40.25,0
40.5,0
40.75,0
41,0
41.25,0
41.5,0
41.75,0
42,0
42.25,0
42.5,0
42.75,0
43,0
43.25,0
43.5,0
43.75,0
44,0
44.25,0
44.5,0
44.75,0
45,0
45.25,0
45.5,0
45.75,0
46,0
46.25,0
46.5,0
46.75,0
47,0
47.25,0
47.5,0
47.75,0
48,0
48.25,0
48.5,0
48.75,0
49,0
49.25,0
49.5,0
49.75,0
